ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
agens	AgensGraph	client	4111	2021-08-03 08:47:20.191888105	2021-08-03 08:47:24.303711787	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	696	0	0	3415
cockroach	CockroachDB	client	6243	2021-08-03 08:47:55.942752152	2021-08-03 08:48:02.186042242	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	425	0	0	5818
cratedb	CrateDB	client	5150	2021-08-03 08:48:33.763778054	2021-08-03 08:48:38.914685412	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1398	0	0	3752
cubrid	CUBRID	client	7398	2021-08-03 08:49:10.321918184	2021-08-03 08:49:17.720750014	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	290	0	0	7108
derby	Apache Derby	client	6071	2021-08-03 08:49:59.340211418	2021-08-03 08:50:05.411240896	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	923	0	0	5148
derby_emb	Apache Derby	embedded	5698	2021-08-03 08:50:05.957127749	2021-08-03 08:50:11.655347607	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	858	0	0	4840
exasol	Exasol	client	3382	2021-08-03 08:52:13.596557984	2021-08-03 08:52:16.979099348	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	574	0	0	2808
firebird	Firebird	client	19609	2021-08-03 08:53:00.403325732	2021-08-03 08:53:20.013037086	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	518	0	0	19091
h2	H2 Database Engine	client	5098	2021-08-03 08:53:51.462773359	2021-08-03 08:53:56.561357273	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	401	0	0	4697
h2_emb	H2 Database Engine	embedded	2544	2021-08-03 08:53:57.134155772	2021-08-03 08:53:59.678244112	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	418	0	0	2126
hsqldb	HSQLDB	client	5732	2021-08-03 08:54:31.671426028	2021-08-03 08:54:37.403565584	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	484	0	0	5248
hsqldb_emb	HSQLDB	embedded	2978	2021-08-03 08:54:37.962856923	2021-08-03 08:54:40.940872131	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	394	0	0	2584
ibmdb2	IBM Db2 Database	client	5683	2021-08-03 08:59:42.680027757	2021-08-03 08:59:48.363242297	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1234	0	0	4449
informix	IBM Informix	client	8538	2021-08-03 09:03:47.001958034	2021-08-03 09:03:55.540574650	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	456	0	0	8082
mariadb	MariaDB Server	client	3286	2021-08-03 09:04:36.949408765	2021-08-03 09:04:40.235709035	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	324	0	0	2962
