ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms	constraints
agens	AgensGraph	client	4638	2022-12-22 10:13:36.509084861	2022-12-22 10:13:41.147278835	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	640	0	0	3998	active
cockroach	CockroachDB	client	8913	2022-12-22 10:14:21.128714131	2022-12-22 10:14:30.042686805	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	729	0	0	8184	active - no choice
cratedb	CrateDB	client	5393	2022-12-22 10:15:14.324502398	2022-12-22 10:15:19.718039643	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1421	0	0	3972	active - no choice
cubrid	CUBRID	client	8514	2022-12-22 10:16:04.170269052	2022-12-22 10:16:12.684832458	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	444	0	0	8070	active
derby	Apache Derby	client	7378	2022-12-22 10:17:05.619495438	2022-12-22 10:17:12.998350058	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1054	0	0	6324	active
derby_emb	Apache Derby	embedded	6380	2022-12-22 10:17:16.339296687	2022-12-22 10:17:22.719841960	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1346	0	0	5034	active
exasol	Exasol	client	3967	2022-12-22 10:20:42.048483318	2022-12-22 10:20:46.016135338	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	917	0	0	3050	active
firebird	Firebird	client	23075	2022-12-22 10:21:42.009361955	2022-12-22 10:22:05.084582674	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	615	0	0	22460	active
h2	H2 Database Engine	client	5180	2022-12-22 10:22:46.385389818	2022-12-22 10:22:51.566100120	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	580	0	0	4600	active - no choice
h2_emb	H2 Database Engine	embedded	2676	2022-12-22 10:22:55.030353618	2022-12-22 10:22:57.706510402	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	631	0	0	2045	active - no choice
