ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms	constraints
agens	AgensGraph	client	861	2022-12-21 10:37:45.634074887	2022-12-21 10:37:46.495311572	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	663	0	0	198	active
cockroach	CockroachDB	client	984	2022-12-21 10:38:25.816833174	2022-12-21 10:38:26.801719337	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	707	0	0	277	active - no choice
cratedb	CrateDB	client	2239	2022-12-21 10:39:11.551474254	2022-12-21 10:39:13.791071314	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1523	0	0	716	active - no choice
cubrid	CUBRID	client	795	2022-12-21 10:39:57.938583339	2022-12-21 10:39:58.734296518	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	454	0	0	341	active
derby	Apache Derby	client	1382	2022-12-21 10:40:50.829373634	2022-12-21 10:40:52.211887948	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	994	0	0	388	active
derby_emb	Apache Derby	embedded	1716	2022-12-21 10:40:55.364286343	2022-12-21 10:40:57.080473455	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1381	0	0	335	active
exasol	Exasol	client	1477	2022-12-21 10:44:13.333390852	2022-12-21 10:44:14.811220024	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	868	0	0	609	active
firebird	Firebird	client	1362	2022-12-21 10:45:10.122701461	2022-12-21 10:45:11.485567965	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	595	0	0	767	active
h2	H2 Database Engine	client	765	2022-12-21 10:45:52.337114772	2022-12-21 10:45:53.102792527	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	470	0	0	295	active - no choice
h2_emb	H2 Database Engine	embedded	766	2022-12-21 10:45:56.387919228	2022-12-21 10:45:57.153991115	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	599	0	0	167	active - no choice
hsqldb	HSQLDB	client	893	2022-12-21 10:46:40.260479356	2022-12-21 10:46:41.153609126	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	585	0	0	308	active
hsqldb_emb	HSQLDB	embedded	674	2022-12-21 10:46:44.301415043	2022-12-21 10:46:44.975876766	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	500	0	0	174	active
ibmdb2	IBM Db2 Database	client	1655	2022-12-21 10:52:23.421070845	2022-12-21 10:52:25.076670594	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1447	0	0	208	active
informix	IBM Informix	client	1022	2022-12-21 10:56:56.381205645	2022-12-21 10:56:57.403944897	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	639	0	0	383	active
mariadb	MariaDB Server	client	687	2022-12-21 10:57:47.363664007	2022-12-21 10:57:48.051025264	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	502	0	0	185	active
mimer	Mimer SQL	client	10382	2022-12-21 10:58:26.788797421	2022-12-21 10:58:37.171519229	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1439	0	0	8943	active
mysql	MySQL Database	client	1070	2022-12-21 10:59:53.124867194	2022-12-21 10:59:54.195416949	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	600	0	0	470	active
mysql_trino	MySQL Database	trino	20932	2022-12-21 11:01:37.880371531	2022-12-21 11:01:58.812623096	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1447	0	0	19485	active - no choice
oracle	Oracle Database	client	1750	2022-12-21 11:06:02.081970920	2022-12-21 11:06:03.832407896	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1098	0	0	652	active
oracle_trino	Oracle Database	trino	22809	2022-12-21 11:11:03.670133589	2022-12-21 11:11:26.480119338	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1072	0	0	21737	active - no choice
percona	Percona Server for MySQL	client	1091	2022-12-21 11:12:44.962157226	2022-12-21 11:12:46.054143292	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	604	0	0	487	active
postgresql	PostgreSQL	client	758	2022-12-21 11:13:26.719975027	2022-12-21 11:13:27.478759166	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	561	0	0	197	active
postgresql_trino	PostgreSQL	trino	21615	2022-12-21 11:14:57.616061814	2022-12-21 11:15:19.231140449	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	640	0	0	20975	active - no choice
sqlserver	MS SQL Server	client	1098	2022-12-21 11:15:53.094723974	2022-12-21 11:15:54.193432913	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	767	0	0	331	active
sqlserver_trino	MS SQL Server	trino	24962	2022-12-21 11:17:33.651865476	2022-12-21 11:17:58.614216227	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	886	0	0	24076	active - no choice
sqlite	SQLite	embedded	574	2022-12-21 11:18:02.177215233	2022-12-21 11:18:02.752164031	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	356	0	0	218	active - no choice
yugabyte	YugabyteDB	client	3725	2022-12-21 11:18:56.492993853	2022-12-21 11:19:00.218846238	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	3348	0	0	377	active
