ticker symbol	DBMS	db type	runtime in seconds	start time	end time	host name	no. cores	operating system
agens	AgensGraph	client	5	2020-10-05 06:19:17.788296500	2020-10-05 06:19:23.034798600	jfww-windows	8	amd64 / Windows 10 / 10.0
cratedb	CrateDB	client	7	2020-10-05 06:20:35.125246500	2020-10-05 06:20:42.595419900	jfww-windows	8	amd64 / Windows 10 / 10.0
cubrid	CUBRID	client	9	2020-10-05 06:21:29.245959500	2020-10-05 06:21:38.466754800	jfww-windows	8	amd64 / Windows 10 / 10.0
derby	Apache Derby	client	13	2020-10-05 06:22:54.262953100	2020-10-05 06:23:08.121794700	jfww-windows	8	amd64 / Windows 10 / 10.0
exasol	Exasol	client	5	2020-10-05 06:28:08.199755700	2020-10-05 06:28:13.913523100	jfww-windows	8	amd64 / Windows 10 / 10.0
firebird	Firebird	client	71	2020-10-05 06:29:16.496103700	2020-10-05 06:30:28.440917900	jfww-windows	8	amd64 / Windows 10 / 10.0
h2	H2 Database Engine	client	12	2020-10-05 06:31:13.072786600	2020-10-05 06:31:25.927388500	jfww-windows	8	amd64 / Windows 10 / 10.0
hsqldb	HyperSQL Database	client	13	2020-10-05 06:32:11.178054800	2020-10-05 06:32:24.341159300	jfww-windows	8	amd64 / Windows 10 / 10.0
ibmdb2	IBM Db2 Database	client	13	2020-10-05 06:39:05.321026600	2020-10-05 06:39:18.452568000	jfww-windows	8	amd64 / Windows 10 / 10.0
informix	IBM Informix	client	27	2020-10-05 06:43:51.117587500	2020-10-05 06:44:18.366029700	jfww-windows	8	amd64 / Windows 10 / 10.0
mariadb	MariaDB Server	client	5	2020-10-05 06:45:12.910887100	2020-10-05 06:45:18.057789100	jfww-windows	8	amd64 / Windows 10 / 10.0
mimer	Mimer SQL	client	35	2020-10-05 06:46:14.848114900	2020-10-05 06:46:50.627586500	jfww-windows	8	amd64 / Windows 10 / 10.0
monetdb	MonetDB	client	39	2020-10-05 06:47:25.491132700	2020-10-05 06:48:05.134560500	jfww-windows	8	amd64 / Windows 10 / 10.0
mysql	MySQL Database	client	7	2020-10-05 06:49:24.646428400	2020-10-05 06:49:32.445077000	jfww-windows	8	amd64 / Windows 10 / 10.0
oracle	Oracle Database	client	14	2020-10-05 06:57:56.344991700	2020-10-05 06:58:10.729535400	jfww-windows	8	amd64 / Windows 10 / 10.0
percona	Percona Server for MySQL	client	6	2020-10-05 06:59:35.824324100	2020-10-05 06:59:42.709525400	jfww-windows	8	amd64 / Windows 10 / 10.0
postgresql	PostgreSQL Database	client	5	2020-10-05 07:00:17.391164500	2020-10-05 07:00:22.599632900	jfww-windows	8	amd64 / Windows 10 / 10.0
sqlserver	MS SQL Server	client	9	2020-10-05 07:01:42.168440700	2020-10-05 07:01:52.000693800	jfww-windows	8	amd64 / Windows 10 / 10.0
voltdb	VoltDB	client	25	2020-10-05 07:02:47.900525000	2020-10-05 07:03:13.863752800	jfww-windows	8	amd64 / Windows 10 / 10.0
