ticker symbol	DBMS	db type	runtime in seconds	start time	end time	host name	no. cores	operating system
agens	AgensGraph	client	12	2020-10-24 08:03:26.166429200	2020-10-24 08:03:38.561836200	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
cratedb	CrateDB	client	17	2020-10-24 08:04:34.830905100	2020-10-24 08:04:52.016905100	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
cubrid	CUBRID	client	26	2020-10-24 08:05:38.614481000	2020-10-24 08:06:05.102255500	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
derby	Apache Derby	client	36	2020-10-24 08:07:32.902001700	2020-10-24 08:08:09.697984400	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
derby_emb	Apache Derby	embedded	53	2020-10-24 08:08:15.397413200	2020-10-24 08:09:08.826044900	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
exasol	Exasol	client	16	2020-10-24 08:11:27.233401500	2020-10-24 08:11:43.404986500	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
firebird	Firebird	client	377	2020-10-24 08:12:50.316747300	2020-10-24 08:19:07.481160400	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
h2	H2 Database Engine	client	33	2020-10-24 08:20:08.594322500	2020-10-24 08:20:41.927423900	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
h2_emb	H2 Database Engine	embedded	11	2020-10-24 08:20:47.692147400	2020-10-24 08:20:59.392581100	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
hsqldb	HyperSQL Database	client	46	2020-10-24 08:21:50.133328400	2020-10-24 08:22:36.438499800	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
hsqldb_emb	HyperSQL Database	embedded	213	2020-10-24 08:22:42.210232100	2020-10-24 08:26:15.737705300	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
ibmdb2	IBM Db2 Database	client	73	2020-10-24 08:31:35.219419700	2020-10-24 08:32:48.738482600	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
informix	IBM Informix	client	86	2020-10-24 08:36:58.601063500	2020-10-24 08:38:24.695060300	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
mariadb	MariaDB Server	client	12	2020-10-24 08:39:20.574235500	2020-10-24 08:39:32.966831000	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
mimer	Mimer SQL	client	150	2020-10-24 08:40:21.962615200	2020-10-24 08:42:52.002733900	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
monetdb	MonetDB	client	124	2020-10-24 08:43:13.547275100	2020-10-24 08:45:17.654228200	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
mysql	MySQL Database	client	20	2020-10-24 08:46:36.930962400	2020-10-24 08:46:57.213879200	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
mysql_presto	MySQL Database	presto	4293	2020-10-24 08:49:02.557307400	2020-10-24 10:00:35.904070100	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
oracle	Oracle Database	client	36	2020-10-24 10:01:55.781336400	2020-10-24 10:02:31.950089600	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
oracle_presto	Oracle Database	presto	3938	2020-10-24 10:04:42.505346800	2020-10-24 11:10:21.345446200	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
percona	Percona Server for MySQL	client	12	2020-10-24 11:11:48.795823000	2020-10-24 11:12:01.702452700	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
postgresql	PostgreSQL Database	client	10	2020-10-24 11:12:47.999083400	2020-10-24 11:12:58.204358400	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
postgresql_presto	PostgreSQL Database	presto	1934	2020-10-24 11:14:29.101936600	2020-10-24 11:46:43.896464600	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
sqlite	SQLite	embedded	12	2020-10-24 11:46:47.637177800	2020-10-24 11:46:59.999411500	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
sqlserver	MS SQL Server	client	16	2020-10-24 11:47:44.148701200	2020-10-24 11:48:00.784474100	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
sqlserver_presto	MS SQL Server	presto	3844	2020-10-24 11:49:30.328627600	2020-10-24 12:53:34.776178700	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
voltdb	VoltDB	client	45	2020-10-24 12:54:07.640060300	2020-10-24 12:54:53.387616200	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
