ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
agens	AgensGraph	client	4171	2021-07-30 04:24:11.374904600	2021-07-30 04:24:15.546434900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	777	0	0	3394
cockroach	CockroachDB	client	5892	2021-07-30 04:24:49.327344800	2021-07-30 04:24:55.219359800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1006	0	0	4886
cratedb	CrateDB	client	5644	2021-07-30 04:25:28.877921700	2021-07-30 04:25:34.522539600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	2070	0	0	3574
cubrid	CUBRID	client	6379	2021-07-30 04:26:08.191543800	2021-07-30 04:26:14.571127900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	474	0	0	5905
derby	Apache Derby	client	17081	2021-07-30 04:27:07.172862400	2021-07-30 04:27:24.254413400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	3373	0	0	13708
derby_emb	Apache Derby	embedded	15585	2021-07-30 04:27:25.089415600	2021-07-30 04:27:40.674432000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	6878	0	0	8707
exasol	Exasol	client	4707	2021-07-30 04:29:46.233398900	2021-07-30 04:29:50.940399200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	705	0	0	4002
firebird	Firebird	client	87003	2021-07-30 04:30:45.530883200	2021-07-30 04:32:12.533883700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	941	0	0	86062
h2	H2 Database Engine	client	7726	2021-07-30 04:32:54.982941200	2021-07-30 04:33:02.709480800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	523	0	0	7203
h2_emb	H2 Database Engine	embedded	3536	2021-07-30 04:33:03.453481400	2021-07-30 04:33:06.989997800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1252	0	0	2284
hsqldb	HSQLDB	client	17651	2021-07-30 04:33:49.948760100	2021-07-30 04:34:07.599832600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	622	0	0	17029
hsqldb_emb	HSQLDB	embedded	3015	2021-07-30 04:34:08.366845100	2021-07-30 04:34:11.381925200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	555	0	0	2460
ibmdb2	IBM Db2 Database	client	22617	2021-07-30 04:39:17.356049900	2021-07-30 04:39:39.973293400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	3330	0	0	19287
informix	IBM Informix	client	20188	2021-07-30 04:43:39.208289700	2021-07-30 04:43:59.396827500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1971	0	0	18217
mariadb	MariaDB Server	client	4119	2021-07-30 04:44:42.806837500	2021-07-30 04:44:46.925926700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	585	0	0	3534
mimer	Mimer SQL	client	9568	2021-07-30 04:45:21.101925900	2021-07-30 04:45:30.670167900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	529	0	0	9039
monetdb	MonetDB	client	12891	2021-07-30 04:45:39.859660800	2021-07-30 04:45:52.751438400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1331	0	0	11560
mysql	MySQL Database	client	6776	2021-07-30 04:46:57.903440400	2021-07-30 04:47:04.680436500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	823	0	0	5953
mysql_trino	MySQL Database	trino	945684	2021-07-30 04:48:45.236287000	2021-07-30 05:04:30.920951900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1561	0	0	944123
omnisci	OmniSciDB	client	37797	2021-07-30 05:05:36.583007600	2021-07-30 05:06:14.380607400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	5082	0	0	32715
oracle	Oracle Database	client	13054	2021-07-30 05:08:25.403055200	2021-07-30 05:08:38.457952300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1005	0	0	12049
oracle_trino	Oracle Database	trino	1503204	2021-07-30 05:11:28.112810300	2021-07-30 05:36:31.317459800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	908	0	0	1502296
percona	Percona Server for MySQL	client	6927	2021-07-30 05:37:45.482313900	2021-07-30 05:37:52.410231200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	792	0	0	6135
postgresql	PostgreSQL	client	4151	2021-07-30 05:38:29.164065100	2021-07-30 05:38:33.315183000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	708	0	0	3443
postgresql_trino	PostgreSQL	trino	472097	2021-07-30 05:39:41.719274400	2021-07-30 05:47:33.816907300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	737	0	0	471360
sqlite	SQLite	embedded	4469	2021-07-30 05:47:34.599409200	2021-07-30 05:47:39.069248200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	953	0	0	3516
sqlserver	MS SQL Server	client	5754	2021-07-30 05:48:14.089587100	2021-07-30 05:48:19.844285400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1172	0	0	4582
sqlserver_trino	MS SQL Server	trino	950590	2021-07-30 05:49:30.187426800	2021-07-30 06:05:20.777566400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1055	0	0	949535
timescale	TimescaleDB	client	4229	2021-07-30 06:05:55.399498300	2021-07-30 06:05:59.629020700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	783	0	0	3446
voltdb	VoltDB	client	14397	2021-07-30 06:06:22.839735500	2021-07-30 06:06:37.237672100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	3686	0	0	10711
yugabyte	YugabyteDB	client	13767	2021-07-30 06:07:11.122591800	2021-07-30 06:07:24.890462300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	6651	0	0	7116
agens	AgensGraph	client	4153	2021-07-30 06:07:58.175991700	2021-07-30 06:08:02.329061100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	868	0	73	3285
cubrid	CUBRID	client	6933	2021-07-30 06:08:35.799406700	2021-07-30 06:08:42.732876400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	708	114	108	6225
exasol	Exasol	client	4720	2021-07-30 06:10:56.772338000	2021-07-30 06:11:01.492366900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	860	23	95	3860
firebird	Firebird	client	73823	2021-07-30 06:11:56.024236700	2021-07-30 06:13:09.847803200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1450	313	154	72373
ibmdb2	IBM Db2 Database	client	25192	2021-07-30 06:18:15.352506200	2021-07-30 06:18:40.545051800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	4499	1064	342	20693
informix	IBM Informix	client	20438	2021-07-30 06:22:40.011900900	2021-07-30 06:23:00.449974300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	2130	53	187	18308
mariadb	MariaDB Server	client	8291	2021-07-30 06:23:43.817709200	2021-07-30 06:23:52.109261800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	4880	4192	127	3411
mimer	Mimer SQL	client	9227	2021-07-30 06:24:26.048117400	2021-07-30 06:24:35.276010400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	856	154	188	8371
monetdb	MonetDB	client	9541	2021-07-30 06:24:44.367041400	2021-07-30 06:24:53.908647000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1425	0	130	8116
mysql	MySQL Database	client	19735	2021-07-30 06:25:58.945413200	2021-07-30 06:26:18.680453500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	13644	12664	178	6091
oracle	Oracle Database	client	15485	2021-07-30 06:28:24.844205300	2021-07-30 06:28:40.330140400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	3723	158	2677	11762
percona	Percona Server for MySQL	client	19008	2021-07-30 06:29:54.319565500	2021-07-30 06:30:13.328079600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	12938	11988	187	6070
postgresql	PostgreSQL	client	4048	2021-07-30 06:30:48.089198400	2021-07-30 06:30:52.137462200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	781	0	96	3267
sqlserver	MS SQL Server	client	5461	2021-07-30 06:31:25.978830400	2021-07-30 06:31:31.440552100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	1512	232	297	3949
timescale	TimescaleDB	client	4085	2021-07-30 06:32:10.096052900	2021-07-30 06:32:14.181725600	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	861	0	99	3224
