ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
agens	AgensGraph	client	3967	2021-09-06 13:44:21.921914100	2021-09-06 13:44:25.889533900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	716	0	0	3251
cockroach	CockroachDB	client	5763	2021-09-06 13:44:59.007058900	2021-09-06 13:45:04.770669400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	875	0	0	4888
cratedb	CrateDB	client	5231	2021-09-06 13:45:41.370601700	2021-09-06 13:45:46.602570900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1995	0	0	3236
cubrid	CUBRID	client	5921	2021-09-06 13:46:19.781872000	2021-09-06 13:46:25.703476200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	402	0	0	5519
derby	Apache Derby	client	15067	2021-09-06 13:47:08.872269000	2021-09-06 13:47:23.939586600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3383	0	0	11684
derby_emb	Apache Derby	embedded	11462	2021-09-06 13:47:25.008951000	2021-09-06 13:47:36.471437900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	6240	0	0	5222
exasol	Exasol	client	3769	2021-09-06 13:49:40.002649500	2021-09-06 13:49:43.771921800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	734	0	0	3035
firebird	Firebird	client	86529	2021-09-06 13:50:29.455465300	2021-09-06 13:51:55.985089500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1076	0	0	85453
h2	H2 Database Engine	client	5718	2021-09-06 13:52:28.978812600	2021-09-06 13:52:34.697329600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	423	0	0	5295
h2_emb	H2 Database Engine	embedded	3455	2021-09-06 13:52:35.764977500	2021-09-06 13:52:39.220531200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1142	0	0	2313
hsqldb	HSQLDB	client	17682	2021-09-06 13:53:12.811765800	2021-09-06 13:53:30.494490800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	553	0	0	17129
hsqldb_emb	HSQLDB	embedded	2827	2021-09-06 13:53:31.565127200	2021-09-06 13:53:34.392886400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	506	0	0	2321
ibmdb2	IBM Db2 Database	client	23140	2021-09-06 13:58:37.529006100	2021-09-06 13:59:00.669888000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3013	0	0	20127
informix	IBM Informix	client	14636	2021-09-06 14:03:09.665697700	2021-09-06 14:03:24.302199000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1831	0	0	12805
mariadb	MariaDB Server	client	3902	2021-09-06 14:04:07.244938100	2021-09-06 14:04:11.146950500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	563	0	0	3339
mimer	Mimer SQL	client	12979	2021-09-06 14:04:44.573733800	2021-09-06 14:04:57.552893700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	526	0	0	12453
monetdb	MonetDB	client	7726	2021-09-06 14:05:05.507667500	2021-09-06 14:05:13.234364600	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	858	0	0	6868
mysql	MySQL Database	client	5945	2021-09-06 14:06:17.517044600	2021-09-06 14:06:23.462234100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	763	0	0	5182
mysql_trino	MySQL Database	trino	1872171	2021-09-06 14:08:01.990814600	2021-09-06 14:39:14.162490900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1659	0	0	1870512
omnisci	OmniSciDB	client	36092	2021-09-06 14:40:21.785386500	2021-09-06 14:40:57.878385500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	4857	0	0	31235
oracle	Oracle Database	client	12016	2021-09-06 14:42:11.445155600	2021-09-06 14:42:23.461581200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1005	0	0	11011
