ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms	constraints
agens	AgensGraph	client	7033	2022-02-27 10:41:06.842579900	2022-02-27 10:41:13.876343000	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	944	0	0	6089	active
agens	AgensGraph	client	6984	2022-02-27 10:41:14.794062100	2022-02-27 10:41:21.778353000	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	966	0	0	6018	active
cockroach	CockroachDB	client	12469	2022-02-27 10:42:38.144662800	2022-02-27 10:42:50.614524000	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	935	0	0	11534	active - no choice
cockroach	CockroachDB	client	13295	2022-02-27 10:42:51.574049700	2022-02-27 10:43:04.869242200	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	1069	0	0	12226	active - no choice
cratedb	CrateDB	client	9149	2022-02-27 10:44:41.821704600	2022-02-27 10:44:50.971174700	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	2566	0	0	6583	active - no choice
cratedb	CrateDB	client	7075	2022-02-27 10:44:51.885619200	2022-02-27 10:44:58.961381800	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	1677	0	0	5398	active - no choice
cubrid	CUBRID	client	10201	2022-02-27 10:46:35.100244600	2022-02-27 10:46:45.302161800	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	551	0	0	9650	active
cubrid	CUBRID	client	10157	2022-02-27 10:46:46.161130200	2022-02-27 10:46:56.318362000	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	598	0	0	9559	active
derby	Apache Derby	client	16314	2022-02-27 10:48:45.146466800	2022-02-27 10:49:01.460652400	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	3843	0	0	12471	active
derby	Apache Derby	client	14065	2022-02-27 10:49:02.344534400	2022-02-27 10:49:16.409801900	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	2875	0	0	11190	active
derby_emb	Apache Derby	embedded	25037	2022-02-27 10:49:28.755110300	2022-02-27 10:49:53.792347000	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	9673	0	0	15364	active
derby_emb	Apache Derby	embedded	24436	2022-02-27 10:49:54.795193500	2022-02-27 10:50:19.231228700	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	6780	0	0	17656	active
exasol	Exasol	client	7475	2022-02-27 10:56:32.622210800	2022-02-27 10:56:40.097623400	jfww-win-dt-14	8	amd64 / Windows 10 / 10.0	1197	0	0	6278	active
