ticker symbol	DBMS	db type	runtime in seconds	start time	end time	host name	no. cores	operating system
derby_emb	Apache Derby	embedded	47	2020-10-05 11:37:03.262817100	2020-10-05 11:37:51.063989900	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
h2_emb	H2 Database Engine	embedded	8	2020-10-05 11:37:52.724681600	2020-10-05 11:38:01.231117100	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
h2_emb	H2 Database Engine	embedded	8	2020-10-05 11:38:02.223231000	2020-10-05 11:38:10.596267000	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
derby_emb	Apache Derby	embedded	54	2020-10-05 11:43:44.043164300	2020-10-05 11:44:38.788331500	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
h2_emb	H2 Database Engine	embedded	8	2020-10-05 11:44:40.758613600	2020-10-05 11:44:49.342344600	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
h2_emb	H2 Database Engine	embedded	8	2020-10-05 11:44:50.359800300	2020-10-05 11:44:58.556458100	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
hsqldb_emb	HyperSQL Database	embedded	222	2020-10-05 11:44:59.909630000	2020-10-05 11:48:42.572981400	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
hsqldb_emb	HyperSQL Database	embedded	228	2020-10-05 11:48:43.673094600	2020-10-05 11:52:32.438444500	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
sqlite	SQLite	embedded	6	2020-10-05 11:52:33.781339800	2020-10-05 11:52:40.321081500	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
sqlite	SQLite	embedded	6	2020-10-05 11:52:41.310708100	2020-10-05 11:52:47.897736600	jfww-win10-nb	8	amd64 / Windows 10 / 10.0
