DBMS	Type	ms	Constraints	Improvement
CockroachDB	client	6610	active - no choice	
CrateDB	client	5325	active - no choice	
CUBRID	client	6295	active	-4.2
Apache Derby	client	14610	active	-4.3
Exasol	client	4006	active	-4.6
H2 Database Engine	client	6652	active - no choice	
H2 Database Engine	embedded	3044	active - no choice	
HSQLDB	client	17382	active	-1.4
HSQLDB	embedded	2848	active	
IBM Db2 Database	client	24020	active	-1.3
MariaDB Server	client	3688	active	-88.6
Mimer SQL	client	8091	active	-7.1
MySQL Database	client	6409	active	-187.2
MySQL Database	trino	434160	active - no choice	
OmniSciDB	client	37162	active - no choice	
Oracle Database	client	13685	active	-17.2
Oracle Database	trino	301071	active - no choice	
Percona Server for MySQL	client	6670	active	-176.3
PostgreSQL	trino	462474	active - no choice	
SQLite	embedded	3672	active - no choice	
MS SQL Server	trino	674708	active - no choice	
YugabyteDB	client	13124	active	-1.5
AgensGraph	client	3894	inactive	6.1
Apache Derby	embedded	15866	inactive	2.1
Firebird	client	72177	inactive	20.1
IBM Informix	client	17354	inactive	0.0
MonetDB	client	8120	inactive	13.9
PostgreSQL	client	3705	inactive	9.3
MS SQL Server	client	5182	inactive	1.5
TimescaleDB	client	3917	inactive	6.0
