ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
agens	AgensGraph	v3.0.3	cmd	client	active	company	4128	2021-09-10 09:14:55.832668800	2021-09-10 09:14:59.960721700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
cockroach	CockroachDB	v3.0.3	cmd	client	active - no choice	company	5630	2021-09-10 09:15:35.325716900	2021-09-10 09:15:40.956532500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
cratedb	CrateDB	v3.0.3	cmd	client	active - no choice	company	5342	2021-09-10 09:16:18.419154200	2021-09-10 09:16:23.761547100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
cubrid	CUBRID	v3.0.3	cmd	client	active	company	6456	2021-09-10 09:16:58.861101900	2021-09-10 09:17:05.317664700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
derby	Apache Derby	v3.0.3	cmd	client	active	company	15405	2021-09-10 09:18:00.406361200	2021-09-10 09:18:15.811927400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
derby_emb	Apache Derby	v3.0.3	cmd	embedded	active	company	16202	2021-09-10 09:18:16.637431100	2021-09-10 09:18:32.840369800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
exasol	Exasol	v3.0.3	cmd	client	active	company	4195	2021-09-10 09:20:39.745777300	2021-09-10 09:20:43.941263100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
firebird	Firebird	v3.0.3	cmd	client	active	company	93671	2021-09-10 09:21:41.253220900	2021-09-10 09:23:14.924461200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
h2	H2 Database Engine	v3.0.3	cmd	client	active - no choice	company	7648	2021-09-10 09:23:59.783618800	2021-09-10 09:24:07.432431800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
h2_emb	H2 Database Engine	v3.0.3	cmd	embedded	active - no choice	company	2976	2021-09-10 09:24:08.254428400	2021-09-10 09:24:11.230841000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
hsqldb	HSQLDB	v3.0.3	cmd	client	active	company	17952	2021-09-10 09:24:56.602125100	2021-09-10 09:25:14.554208900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
hsqldb_emb	HSQLDB	v3.0.3	cmd	embedded	active	company	2864	2021-09-10 09:25:15.333207300	2021-09-10 09:25:18.197207500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
ibmdb2	IBM Db2 Database	v3.0.3	cmd	client	active	company	23578	2021-09-10 09:30:24.165870800	2021-09-10 09:30:47.744858700	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
informix	IBM Informix	v3.0.3	cmd	client	active	company	19946	2021-09-10 09:34:39.468905900	2021-09-10 09:34:59.415315500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
mariadb	MariaDB Server	v3.0.3	cmd	client	active	company	3815	2021-09-10 09:35:44.171281600	2021-09-10 09:35:47.987281500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
mimer	Mimer SQL	v3.0.3	cmd	client	active	company	9286	2021-09-10 09:36:23.642243800	2021-09-10 09:36:32.928934200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
monetdb	MonetDB	v3.0.3	cmd	client	active	company	9525	2021-09-10 09:36:43.661438100	2021-09-10 09:36:53.187150300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
mysql	MySQL Database	v3.0.3	cmd	client	active	company	7636	2021-09-10 09:38:00.010530800	2021-09-10 09:38:07.646582200	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
mysql_trino	MySQL Database	v3.0.3	cmd	trino	active - no choice	company	1035999	2021-09-10 09:39:51.356293400	2021-09-10 09:57:07.356110800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
omnisci	OmniSciDB	v3.0.3	cmd	client	active - no choice	company	37538	2021-09-10 09:58:13.822388100	2021-09-10 09:58:51.360795000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
oracle	Oracle Database	v3.0.3	cmd	client	active	company	12808	2021-09-10 10:00:02.885585500	2021-09-10 10:00:15.694111100	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
oracle_trino	Oracle Database	v3.0.3	cmd	trino	active - no choice	company	1877924	2021-09-10 10:02:09.907302000	2021-09-10 10:33:27.831389500	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
percona	Percona Server for MySQL	v3.0.3	cmd	client	active	company	6614	2021-09-10 10:34:48.215998000	2021-09-10 10:34:54.830061900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
postgresql	PostgreSQL	v3.0.3	cmd	client	active	company	3940	2021-09-10 10:35:33.313465500	2021-09-10 10:35:37.254417900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
postgresql_trino	PostgreSQL	v3.0.3	cmd	trino	active - no choice	company	510823	2021-09-10 10:36:48.969043900	2021-09-10 10:45:19.792161400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
sqlite	SQLite	v3.0.3	cmd	embedded	active - no choice	company	4426	2021-09-10 10:45:20.609160500	2021-09-10 10:45:25.035501800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
sqlserver	MS SQL Server	v3.0.3	cmd	client	active	company	5300	2021-09-10 10:46:01.438500400	2021-09-10 10:46:06.739001300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
sqlserver_trino	MS SQL Server	v3.0.3	cmd	trino	active - no choice	company	1049892	2021-09-10 10:47:20.194742800	2021-09-10 11:04:50.087011000	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
timescale	TimescaleDB	v3.0.3	cmd	client	active	company	4223	2021-09-10 11:05:26.530344400	2021-09-10 11:05:30.753845900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
yugabyte	YugabyteDB	v3.0.3	cmd	client	active	company	13516	2021-09-10 11:06:29.691164000	2021-09-10 11:06:43.207505400	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
agens	AgensGraph	v3.0.3	cmd	client	inactive	company	3987	2021-09-10 11:07:17.961612400	2021-09-10 11:07:21.949113800	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
cubrid	CUBRID	v3.0.3	cmd	client	inactive	company	6776	2021-09-10 11:07:56.732675700	2021-09-10 11:08:03.508676900	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
derby	Apache Derby	v3.0.3	cmd	client	inactive	company	15899	2021-09-10 11:08:58.665471800	2021-09-10 11:09:14.565303300	jfww-win-dt-21	32	amd64 / Windows 10 / 10.0	db_seeder_cmd_complete_company_3.0.3_win10
