ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
agens	AgensGraph	client	6	2020-10-04 12:10:26.157442828	2020-10-04 12:10:32.348807656	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
cratedb	CrateDB	client	13	2020-10-04 12:11:29.300257791	2020-10-04 12:11:42.467523022	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
cubrid	CUBRID	client	7	2020-10-04 12:12:23.459455032	2020-10-04 12:12:30.663472375	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
derby	Apache Derby	client	16	2020-10-04 12:13:55.107144558	2020-10-04 12:14:11.550002479	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
exasol	Exasol	client	6	2020-10-04 12:19:27.990572979	2020-10-04 12:19:34.043358187	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
firebird	Firebird	client	52	2020-10-04 12:20:57.406546189	2020-10-04 12:21:49.802129064	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
h2	H2 Database Engine	client	10	2020-10-04 12:22:53.718606999	2020-10-04 12:23:04.356646267	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
hsqldb	HyperSQL Database	client	14	2020-10-04 12:24:09.451680552	2020-10-04 12:24:24.325514263	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
ibmdb2	IBM Db2 Database	client	15	2020-10-04 12:30:52.363194845	2020-10-04 12:31:07.900878174	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
informix	IBM Informix	client	11	2020-10-04 12:35:25.716610737	2020-10-04 12:35:37.622311206	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
mariadb	MariaDB Server	client	5	2020-10-04 12:36:27.984989419	2020-10-04 12:36:33.818548656	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
mimer	Mimer SQL	client	38	2020-10-04 12:37:16.517060023	2020-10-04 12:37:55.080395586	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
monetdb	MonetDB	client	31	2020-10-04 12:38:16.176016332	2020-10-04 12:38:47.580490489	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
mysql	MySQL Database	client	9	2020-10-04 12:40:00.892864512	2020-10-04 12:40:10.041466340	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
oracle	Oracle Database	client	12	2020-10-04 12:51:21.634240775	2020-10-04 12:51:33.812094326	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
percona	Percona Server for MySQL	client	8	2020-10-04 12:52:54.150280102	2020-10-04 12:53:02.404720279	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
postgresql	PostgreSQL Database	client	5	2020-10-04 12:53:41.141406932	2020-10-04 12:53:46.790415108	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
sqlserver	MS SQL Server	client	9	2020-10-04 12:54:52.118596826	2020-10-04 12:55:01.483329442	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
voltdb	VoltDB	client	17	2020-10-04 12:55:41.544198141	2020-10-04 12:55:58.944309377	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
yugabyte	YugabyteDB	client	20	2020-10-04 12:57:03.174245899	2020-10-04 12:57:23.477282068	travis-job-21ef0929-d9ca-40ba-88d0-46658181eea7	2	amd64 / Linux / 5.4.0-1024-gcp
