ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	" operating system"
cratedb	CrateDB	client	35	2020-07-10 08:25:55.773791000	2020-07-10 08:26:31.477579000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
cratedb	CrateDB	client	29	2020-07-10 08:26:32.187031000	2020-07-10 08:27:01.672951000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
cubrid	CUBRID	client	16	2020-07-10 08:27:34.342847000	2020-07-10 08:27:50.460355000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
cubrid	CUBRID	client	16	2020-07-10 08:27:51.212156000	2020-07-10 08:28:07.915404000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
derby	Apache Derby [client]	client	19	2020-07-10 08:28:51.417899000	2020-07-10 08:29:11.072593000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
derby	Apache Derby [client]	client	17	2020-07-10 08:29:11.885225000	2020-07-10 08:29:29.345475000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
firebird	Firebird	client	66	2020-07-10 08:30:02.665234000	2020-07-10 08:31:08.857469000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
firebird	Firebird	client	66	2020-07-10 08:31:09.574875000	2020-07-10 08:32:16.254921000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2	H2 Database Engine [client]	client	11	2020-07-10 08:32:58.932733000	2020-07-10 08:33:10.251736000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2	H2 Database Engine [client]	client	11	2020-07-10 08:33:10.983091000	2020-07-10 08:33:22.823345000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2_emb	H2 Database Engine [embedded]	embedded	19	2020-07-10 08:33:23.577783000	2020-07-10 08:33:43.200437000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2_emb	H2 Database Engine [embedded]	embedded	16	2020-07-10 08:33:43.981415000	2020-07-10 08:34:00.017272000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb	HyperSQL Database [client]	client	20	2020-07-10 08:34:33.575653000	2020-07-10 08:34:54.166306000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb	HyperSQL Database [client]	client	18	2020-07-10 08:34:54.932788000	2020-07-10 08:35:13.928394000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb_emb	HyperSQL Database [embedded]	embedded	307	2020-07-10 08:35:14.685291000	2020-07-10 08:40:21.835677000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb_emb	HyperSQL Database [embedded]	embedded	302	2020-07-10 08:40:22.668684000	2020-07-10 08:45:24.926881000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
ibmdb2	IBM Db2 Database	client	22	2020-07-10 08:47:27.264116000	2020-07-10 08:47:49.565356000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
ibmdb2	IBM Db2 Database	client	16	2020-07-10 08:47:50.595753000	2020-07-10 08:48:07.371954000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
