ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
cratedb	CrateDB	client	36	2020-07-13 06:33:19.805109000	2020-07-13 06:33:56.059354000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
cratedb	CrateDB	client	28	2020-07-13 06:33:57.030611000	2020-07-13 06:34:25.735883000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
cubrid	CUBRID	client	15	2020-07-13 06:34:59.030125000	2020-07-13 06:35:14.511354000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
cubrid	CUBRID	client	14	2020-07-13 06:35:15.351640000	2020-07-13 06:35:30.265366000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
derby	Apache Derby [client]	client	19	2020-07-13 06:36:14.449406000	2020-07-13 06:36:34.165159000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
derby	Apache Derby [client]	client	16	2020-07-13 06:36:35.293962000	2020-07-13 06:36:51.871399000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
firebird	Firebird	client	68	2020-07-13 06:37:25.594639000	2020-07-13 06:38:34.037059000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
firebird	Firebird	client	73	2020-07-13 06:38:34.988445000	2020-07-13 06:39:48.078549000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2	H2 Database Engine [client]	client	11	2020-07-13 06:40:21.177509000	2020-07-13 06:40:33.053213000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2	H2 Database Engine [client]	client	11	2020-07-13 06:40:33.948939000	2020-07-13 06:40:45.237239000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2_emb	H2 Database Engine [embedded]	embedded	13	2020-07-13 06:40:46.090764000	2020-07-13 06:40:59.528368000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
h2_emb	H2 Database Engine [embedded]	embedded	11	2020-07-13 06:41:00.598515000	2020-07-13 06:41:12.277860000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb	HyperSQL Database [client]	client	23	2020-07-13 06:41:46.317742000	2020-07-13 06:42:09.411351000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb	HyperSQL Database [client]	client	21	2020-07-13 06:42:10.745713000	2020-07-13 06:42:32.382149000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb_emb	HyperSQL Database [embedded]	embedded	288	2020-07-13 06:42:33.307180000	2020-07-13 06:47:21.884784000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
hsqldb_emb	HyperSQL Database [embedded]	embedded	304	2020-07-13 06:47:22.694337000	2020-07-13 06:52:26.858601000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
ibmdb2	IBM Db2 Database	client	24	2020-07-13 06:54:29.704437000	2020-07-13 06:54:54.555031000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
ibmdb2	IBM Db2 Database	client	16	2020-07-13 06:54:57.695586000	2020-07-13 06:55:14.284733000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
informix	IBM Informix	client	27	2020-07-13 06:59:06.859634000	2020-07-13 06:59:34.796237000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
informix	IBM Informix	client	35	2020-07-13 06:59:36.017211000	2020-07-13 07:00:11.478594000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
mariadb	MariaDB Server	client	10	2020-07-13 07:00:33.918242000	2020-07-13 07:00:44.911049000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
mariadb	MariaDB Server	client	10	2020-07-13 07:00:45.747443000	2020-07-13 07:00:56.479266000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
mssqlserver	MS SQL Server	client	15	2020-07-13 07:01:20.132467000	2020-07-13 07:01:35.325617000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
mssqlserver	MS SQL Server	client	13	2020-07-13 07:01:36.164506000	2020-07-13 07:01:49.374433000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
mimer	Mimer SQL	client	43	2020-07-13 07:02:12.772453000	2020-07-13 07:02:56.457322000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
mimer	Mimer SQL	client	43	2020-07-13 07:02:57.222050000	2020-07-13 07:03:40.561655000	jfww-windows	8	amd64 / Linux / 4.19.104-microsoft-standard
