ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
cratedb	CrateDB	client	44	2020-07-31 05:14:58.251623000	2020-07-31 05:15:42.372856000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
cratedb	CrateDB	client	33	2020-07-31 05:15:43.040744000	2020-07-31 05:16:16.823273000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	CUBRID	client	10	2020-07-31 05:16:57.751488000	2020-07-31 05:17:08.370097000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	CUBRID	client	10	2020-07-31 05:17:08.876449000	2020-07-31 05:17:19.562043000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
derby	Apache Derby [client]	client	20	2020-07-31 05:18:14.670171000	2020-07-31 05:18:35.484959000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
derby	Apache Derby [client]	client	16	2020-07-31 05:18:35.981066000	2020-07-31 05:18:52.503807000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
derby_emb	Apache Derby [embedded]	embedded	13	2020-07-31 05:18:53.052608000	2020-07-31 05:19:06.864526000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	Firebird	client	58	2020-07-31 05:19:45.619014000	2020-07-31 05:20:44.191132000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	Firebird	client	56	2020-07-31 05:20:44.634087000	2020-07-31 05:21:41.414704000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
h2	H2 Database Engine [client]	client	8	2020-07-31 05:22:14.957051000	2020-07-31 05:22:23.583978000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
h2	H2 Database Engine [client]	client	8	2020-07-31 05:22:23.999350000	2020-07-31 05:22:32.097070000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
h2_emb	H2 Database Engine [embedded]	embedded	3	2020-07-31 05:22:32.608966000	2020-07-31 05:22:36.590223000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
h2_emb	H2 Database Engine [embedded]	embedded	5	2020-07-31 05:22:37.044337000	2020-07-31 05:22:42.064794000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	HyperSQL Database [client]	client	20	2020-07-31 05:23:16.950827000	2020-07-31 05:23:37.092285000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	HyperSQL Database [client]	client	19	2020-07-31 05:23:37.985307000	2020-07-31 05:23:57.556433000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb_emb	HyperSQL Database [embedded]	embedded	14	2020-07-31 05:23:58.066915000	2020-07-31 05:24:12.624259000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb_emb	HyperSQL Database [embedded]	embedded	17	2020-07-31 05:24:13.114729000	2020-07-31 05:24:30.488994000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	IBM Db2 Database	client	18	2020-07-31 05:27:52.945589000	2020-07-31 05:28:11.052694000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	IBM Db2 Database	client	17	2020-07-31 05:28:11.619625000	2020-07-31 05:28:28.676683000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
informix	IBM Informix	client	15	2020-07-31 05:32:28.779928000	2020-07-31 05:32:44.425018000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
informix	IBM Informix	client	32	2020-07-31 05:32:44.859696000	2020-07-31 05:33:17.841961000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	MariaDB Server	client	7	2020-07-31 05:33:49.402647000	2020-07-31 05:33:56.733761000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	MariaDB Server	client	7	2020-07-31 05:33:57.182127000	2020-07-31 05:34:04.485537000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
mssqlserver	MS SQL Server	client	11	2020-07-31 05:35:01.034824000	2020-07-31 05:35:12.389604000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
mssqlserver	MS SQL Server	client	10	2020-07-31 05:35:12.855555000	2020-07-31 05:35:23.119199000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
mimer	Mimer SQL	client	47	2020-07-31 05:35:57.516763000	2020-07-31 05:36:44.604960000	travis-job-8e540340-e644-459b-9278-2ca1475c60b5	2	amd64 / Linux / 5.3.0-1029-gcp
