ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
cratedb	cratedb	CrateDB	25	2020-08-09 08:04:54.257822000	2020-08-09 08:05:19.624627000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
cratedb	cratedb	CrateDB	20	2020-08-09 08:05:20.254010000	2020-08-09 08:05:40.304011000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	7	2020-08-09 08:06:20.677208000	2020-08-09 08:06:27.703099000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
cubrid	cubrid	CUBRID	6	2020-08-09 08:06:28.141245000	2020-08-09 08:06:34.787027000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	11	2020-08-09 08:07:28.942467000	2020-08-09 08:07:40.487011000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
derby	derby	Apache Derby [client]	9	2020-08-09 08:07:41.003060000	2020-08-09 08:07:50.153457000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	28	2020-08-09 08:08:28.438330000	2020-08-09 08:08:56.987990000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
firebird	firebird	Firebird	28	2020-08-09 08:08:57.412228000	2020-08-09 08:09:25.655923000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	5	2020-08-09 08:09:59.029410000	2020-08-09 08:10:04.207884000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
h2	h2	H2 Database Engine [client]	5	2020-08-09 08:10:04.671250000	2020-08-09 08:10:09.811918000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	hsqldb	HyperSQL Database [client]	10	2020-08-09 08:10:44.799842000	2020-08-09 08:10:55.209255000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
hsqldb	hsqldb	HyperSQL Database [client]	9	2020-08-09 08:10:55.644545000	2020-08-09 08:11:05.222565000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	ibmdb2	IBM Db2 Database	10	2020-08-09 08:17:27.472696000	2020-08-09 08:17:37.716078000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
ibmdb2	ibmdb2	IBM Db2 Database	10	2020-08-09 08:17:38.300399000	2020-08-09 08:17:48.591325000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
informix	informix	IBM Informix	10	2020-08-09 08:22:08.114629000	2020-08-09 08:22:18.590451000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
informix	informix	IBM Informix	9	2020-08-09 08:22:19.063115000	2020-08-09 08:22:28.712206000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	mariadb	MariaDB Server	5	2020-08-09 08:23:10.397993000	2020-08-09 08:23:15.943845000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mariadb	mariadb	MariaDB Server	5	2020-08-09 08:23:16.422404000	2020-08-09 08:23:22.094441000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mssqlserver	mssqlserver	MS SQL Server	7	2020-08-09 08:24:29.115301000	2020-08-09 08:24:36.744593000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mssqlserver	mssqlserver	MS SQL Server	7	2020-08-09 08:24:37.194715000	2020-08-09 08:24:44.218485000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mimer	mimer	Mimer SQL	24	2020-08-09 08:25:31.809992000	2020-08-09 08:25:55.957029000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mimer	mimer	Mimer SQL	23	2020-08-09 08:25:56.390984000	2020-08-09 08:26:20.149095000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mysql	mysql	MySQL Database	9	2020-08-09 08:27:38.615249000	2020-08-09 08:27:47.681698000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
mysql	mysql	MySQL Database	9	2020-08-09 08:27:48.113709000	2020-08-09 08:27:57.200858000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
oracle	oracle	Oracle Database	8	2020-08-09 08:38:27.172242000	2020-08-09 08:38:35.631028000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
oracle	oracle	Oracle Database	7	2020-08-09 08:38:36.080671000	2020-08-09 08:38:43.745836000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
postgresql	postgresql	PostgreSQL Database	5	2020-08-09 08:39:31.107550000	2020-08-09 08:39:36.431529000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
postgresql	postgresql	PostgreSQL Database	5	2020-08-09 08:39:36.877608000	2020-08-09 08:39:41.907667000	travis-job-ae3b974c-e99e-4b83-bb3b-f73df7363a3e	2	amd64 / Linux / 5.3.0-1029-gcp
